Specified Values,Specified Attribute Names,Diabetes_binary,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"0, 0","HighChol, Stroke",0,0.11997857019495421,0.6543660158764214,1,188.2573273484498,9990,3,0.09523809523809523,0.00042568856267672864,3050,4661
"0, 0, 0, 0","HighBP, Smoker, Stroke, Fruits",0,0.21196622761184206,0.7332521315468941,1,227.57982032241108,9934,57,0.19047619047619047,0.00047589201264488265,602,821
"1, 0, 1, [-6.9,6.9]","PhysActivity, HvyAlcoholConsump, AnyHealthcare, MentHlth",0,0.04800051245482841,0.5448151487826871,1,243.17789188824094,9990,79,0.19047619047619047,0.0005614023856416515,3021,5545
"0, 0, 0, 0, 1","HighBP, Smoker, Stroke, Fruits, Sex",0,0.17091002203503264,0.7023498694516971,1,228.74877382652772,9934,101,0.23809523809523808,0.0004783364105487665,269,383
"1, 1, 1, 0, 1, [-6.9,6.9]","Stroke, PhysActivity, Fruits, HvyAlcoholConsump, AnyHealthcare, MentHlth",1,0.2501707582742346,0.7579617834394905,3,178.92447882010612,9764,103,0.2857142857142857,0.001122446580059347,119,157
"0, 0, 0","HighChol, Smoker, Stroke",0,0.15379871465804443,0.6876865671641791,4,234.42931086087737,9990,115,0.14285714285714285,0.002185505272533161,1843,2680
"1, 0, 1, [-11.25,11.25], [5.495,8.504999999999999]","HighBP, HvyAlcoholConsump, AnyHealthcare, MentHlth, Income",1,0.09122166244342725,0.6194690265486725,1,169.25773143778719,9916,224,0.23809523809523808,0.00036818438699637074,1470,2373
"1, 1, 1","HighBP, CholCheck, AnyHealthcare",1,0.14301476431677504,0.677760375880971,1,143.95902313159772,9986,224,0.14285714285714285,0.00031313893477710264,3462,5108
"0, 0, 0, 0","HighChol, Smoker, Stroke, HeartDiseaseorAttack",0,0.1749334432200428,0.7056259904912837,1,234.43346576186278,9990,230,0.19047619047619047,0.0005463871785216887,1781,2524
"0, 0, 0, 0, [-4.6,8.6]","HighBP, HighChol, Smoker, Fruits, PhysHlth",0,0.375397982947308,0.8220502901353965,1,285.32858610106393,9934,257,0.23809523809523808,0.0005966504187954243,425,517
"0, 1, 0, 0, 0","HighBP, CholCheck, Smoker, Stroke, Fruits",0,0.19619770047350749,0.7220026350461133,1,228.21507439416848,9934,300,0.23809523809523808,0.00047722039201666174,548,759
"0, 0, 0, 0","HighChol, Smoker, Stroke, HvyAlcoholConsump",0,0.1479063021710454,0.6823345084214649,1,234.38317719405336,9990,305,0.19047619047619047,0.0005462557305328361,1742,2553
"1, 0, 1, [5.495,8.504999999999999]","HighBP, HeartDiseaseorAttack, AnyHealthcare, Income",1,0.06600153808263474,0.5806451612903226,1,139.14634209906953,9935,348,0.19047619047619047,0.00028947700393602794,1278,2201
"1, 1, 0, 1","HighBP, Fruits, HvyAlcoholConsump, AnyHealthcare",1,0.1304716085672705,0.6654312668463612,1,174.14435047420517,9986,375,0.19047619047619047,0.00038095739431406276,1975,2968
"0, 1, 0, [0.6799999999999999,3.3200000000000003]","Smoker, PhysActivity, HvyAlcoholConsump, GenHlth",0,0.11944368073352228,0.653781512605042,1,288.5112435957154,9990,434,0.19047619047619047,0.0006033056717899267,1945,2975
"0, [5.025,6.975]","Smoker, Education",0,0.13168724279835387,0.6666666666666666,1,281.6802054330274,9990,458,0.09523809523809523,0.0005890212923792647,1492,2238
"0, 1","Stroke, Veggies",0,0.04313983461414133,0.5333050487908358,1,171.00972360822846,9990,507,0.09523809523809523,0.0004015228441226256,3771,7071
"0, 1, 0, 0, [4.125,5.875]","HighChol, Smoker, Veggies, NoDocbcCost, Education",0,0.08928958188051805,0.616822429906542,1,157.61738732583242,9787,563,0.23809523809523808,0.00032959361500529256,66,107
"0, 1, 0, 0, [4.125,5.875], [3.425,6.575]","HighChol, PhysActivity, Veggies, NoDocbcCost, Education, Income",0,0.06504222973314074,0.5789473684210527,1,198.85379333546553,9787,563,0.2857142857142857,0.000415823036499538,33,57
"1, 0","HighBP, AnyHealthcare",1,0.07465000619379879,0.5951219512195122,2,102.99132401033748,9945,572,0.09523809523809523,0.0004307301798446333,122,205
"0, 0, [-9.0,9.0]","Stroke, HeartDiseaseorAttack, PhysHlth",0,0.07303797505183077,0.5925291828793774,1,171.02181912770038,9990,576,0.14285714285714285,0.00040156236433014917,3807,6425
"0, 0, 0, 1, [-9.9,9.9]","HighBP, Smoker, Stroke, PhysActivity, MentHlth",0,0.3286124979738431,0.8004548038658329,1,305.09966696566084,9990,585,0.23809523809523808,0.0006379937129921076,1408,1759
"0, 1, 0, 1, [1.5,3.0154720122010916]","HighChol, HeartDiseaseorAttack, HvyAlcoholConsump, AnyHealthcare, Education",1,0.25126003423796484,0.7586206896551724,1,169.06969546862268,9138,592,0.23809523809523808,0.0003535415290329105,22,29
"0, 0, 0, 1, [-9.45,9.45], 0, [-2.4799999999999995,4.4799999999999995], [2.69,7.3100000000000005]","HighBP, Smoker, Stroke, PhysActivity, PhysHlth, DiffWalk, Age, Income",0,0.6637379143028671,0.9212962962962963,1,239.4397696308248,9969,599,0.38095238095238093,0.0005006923448459161,199,216
"1, 0","HighBP, HvyAlcoholConsump",1,0.14657739183751767,0.6811039484286865,3,136.72288379231355,9986,604,0.09523809523809523,0.000868487962699937,3381,4964
